Id,Body,oblast,odgovor
4001,It seems to me that the addition of electrons and protons as you move across a period would cause an atom to become larger However I'm told it gets smaller Why is this,hemija,4003
4002,My understanding is that $\mathrm{NaCl}$ is an ionic compound in which $\mathrm{Cl}$ becomes (effectively) $\mathrm{Cl^-}$ and $\mathrm{Na}$ becomes $\mathrm{Na^+}$ So I understand why I would get a sea of particles that would stick together But why does the above mean that it will have a face centered cubic structure with the ions held in place so rigidly,hemija,4056
4004,A reaction proceeds towards the direction of lesser Gibbs Free energy (at constant T and P) So we could say that Gibbs free energy at equilibrium is minimum On the other hand we have $$\Delta G=\Delta G^o + RT\ln Q$$ where $Q$ is the reaction quotient At equilibrium $Q=K_{eq}$ and we already know that $\Delta G^o=-RT\ln K_{eq}$ Substituting we get $\Delta G=0$ at equilibrium But we know that $G$ minimized itself--thus there was a change in $G$ and $\Delta G &lt; 0$ What am I missing here,hemija,4013
4007,When N N-dimethylaniline is reacted with $\ce{H_2SO_4}$ and $\ce{HNO_3}$ it gives mainly the meta product even though $\ce{NMe_2}$ is an ortho / para directing group Why is this,hemija,4012
4011,Recrystallization is a nice way of purifying a product but choosing a suitable solvent if you can't rely on the literature seems like a lot of trial-and-error Are there any general rules on which kind of solvents could be used for recrystallization Which criteria should one use when trying to recrystallize a compound for which no literature on useable conditions exists,hemija,4019
4016,I often hear that water gets purified by being in a silver vessel which sounds plausible because of bactericidal feature of silver What doesn't sound plausible though is the way it's explained that silver releases ions into the water Since silver is a noble metal why would any reaction at all occur with something as neutral as water Is the above explanation nonsense Does the disinfection of water happen only on contact with the metal,hemija,4022
4017,In environmental chemistry most of the organophosphorous compounds we worry about are actually organophosphate compounds Is there something about the $\mathrm{C-P}$ bond that makes it less stable (and thus less persistent in the environment) than a $\mathrm{C-O-P}$ bond,hemija,4090
4018,Organic compounds are typically defined as “molecules containing carbon” Wikipedia states that there for some historical (read non-logical) reasons a few types of carbon-containing compounds such as carbides carbonates simple oxides of carbon and cyanides as well as the allotropes of carbon such as diamond and graphite are considered inorganic I thus wonder is activated charcoal (also known as activated carbon) typically classified as an organic or inorganic material If I follow the list of exceptions given by Wikipedia it should be organic (it's not an allotrope of carbon in particular) but I get the feeling that most people in the field of porous materials would classify it as inorganic So I'm looking for an authoritative reference on this question,hemija,4065
4024,What software is available out there to calculate the equilibrium in a set of reactions in aqueous solution In particular I'm interested in software general enough to simulate things like titration curves involving acido-basicity complex formation precipitation… A web search turns up plenty of academic papers giving algorithms to find the equilibrium of such systems but I'd like to find software that actually performs it In particular it would be really helpful if there existed such software that included a decent database of reaction constants for some well-known reactions (pKa for common acide-base couples complexation and precipitation constants etc ) Edit Apparently I was unclear I'm not looking for molecular simulation codes but for software that can calculate chemical equilibrium in solution from initial concentrations and a database of equilibrium constants for each possible reaction The kind of thing teachers can use to predict titration curve and demonstrate the effect of various initial concentrations to students,hemija,4057
4025,How can one choose which group has more shifting tendency in 1 2 carbocation rearrangement The obvious order is via the stability of the carbocation of the group But phenylic groups have high shifting tendency--and a phenylic carbocation is unstable Is there a way of predicting these I was thinking that it will be related to the delocalization in the triangular intermediate formed Update I'm talking about comparing migratory aptitude of the $R$ groups in a system similar to $&gt;C(+)-C(R_1R_2R_3)$,hemija,4093
4026,The reagent APTES is a fairly common ink for microcontact printing a technique that forms covalent bonds between the silanols found on the surface of the glass and the silane in the the APTES It's also been demonstrated that the mono-layer then polymerizes somewhat forming bonds between neighboring silanols What is the mechanism by which the printing and polymerization occur and what is the reason for using APTES instead of a more reactive trichlorosilane,hemija,4233
4027,I've heard quite a few times that the chromate and permanganate have a $d^3s$ configuration Also their colors arise due to a rapid switching of electrons between the oxygen and metal atoms I don't really understand the 'rapid switching' part--it's obvious why it can give color but I fail to see why there is a need for such a switching-what's so special about $\mathrm{Cr}$ and $\mathrm{Mn}$ (I also do not know what the switching exactly is) An explanation of $d^3s$ would be appreciated though not necessary,hemija,4067
4029,The total synthesis of vitamin B-12 by Robert Burns Woodward and Albert Eschenmoser is over 30 years old At its time it was considered a landmark in the field With current developments (e g olefin metathesis palladium catalysis etc ) is it possible to optimize this synthesis By optimize I mean reduce the number of steps in the synthesis,hemija,4777
4030,It is known that impurities in a desired isolated product lower the melting point of the mixture even if the impurities melting point is much higher than the desired product Why is that,hemija,4034
4031,In a crystal structure I've determined a triazole ring on my ligand appears to be stacking with a tyrosine (top in picture) However there is also an amide courtesy a glutamine near it (bottom) Is it likely this terminal amide is engaging in &pi;-&pi; interactions with the triazole or just weaker dispersion forces How would I quantify how significant the interaction is,hemija,4038
4033,What conditions promote a nucleophile to undergo the Michael reaction over the nucleophilic attack at the alpha carbon of the carbonyl group in an alpha-beta-unsaturated ketone I'm looking for an answer that considers organic and inorganic nucleophiles (like organocuprates/organolithium compounds),hemija,4051
4045,One synthesis of quinolones begins with the formation of an ethyl ethoxymethylenemalonate as seen in this Organic Syntheses paper I've been asked if the malonate derivative would be formed if methylmalonate was treated with trimethyl orthoformate with a catalytic amount of $\mathrm{H^+}$ without heating The nature of the solvent isn't mentioned but I guess the reaction is carried out in a non-aqueous medium with an ion-exchange resin since I think trimethyl orthoformate acts as a water trap My hunch is that there shouldn't be a significant quantity of product formed We're dealing with an activated methylene why not simply use a base and then carry on with our addition I can't imagine how under normal circumstances the elimination product ethyl ethoxymethylenemalonate will be formed How can this reaction happen in a mechanistically reasonable way,hemija,4362
4046,This question on NaCl crystalization actually got me wondering are there any ionic amorphous solids Like ionic crystals are crystalline materials of electrostatically-attracted ions can ions form an amorphous phase I can see no reason why not but I cannot think of any example either…,hemija,4055
4054,Many of us have experienced the failure of nitrile gloves when exposed to chloroform What's going on at a mechanistic level when this occurs I would guess that the chloroform dissolves some of the polymer into its constituent monomers but I've never heard anything more definite than that Is it a similar mechanism to what happens when chloroform is left too long in a plastic bottle,hemija,4435
4062,In the hydrogenation of unsaturated compounds with hydrogen gas and a catalyst the choice of palladium on carbon is able to hydrogenate alkenes and alkynes but is unable to hydrogenate aromatic compounds Using rhodium or Raney nickel however allows one to hydrogenate aromatics How does the choice of catalyst affect what kind of unsaturated compounds can be hydrogenated,hemija,4104
4063,The most notable characteristic of polytetrafluoroethylene (PTFE DuPont's Teflon) is that nothing sticks to it This complete inertness is attributed to the fluorine atoms completely shielding the carbon backbone of the polymer If nothing indeed sticks to Teflon how might one coat an object (say a frying pan) with PTFE,hemija,4075
4064,Solvent extraction in a separation funnel is a very common method in preparative organic chemistry But sometimes you don't get a nice phase separation between the organic and the water phase What are the possible causes that can prevent the formation of two distinct phases and how can you force a phase separation when you encounter such situations,hemija,4066
