Id,oblast,Body
2,inzinjerstvo,"I believe it's termed injecting not pumping but yes it's certainly possible Coal fired electric power plants grind the coal to a very fine dust and then blow the dust into the central burner This particular article is a summary of some DOE research for a Blast Furnace Granulated Coal Injection System Demonstration Project And this article discusses some of the hazards from a National Fire Protection Association perspective Coal dust having the particular dangerous property of being explosive and all that As far as specifics regarding danger I suspect it will vary depending upon the material(s) involved in the powder"
8,inzinjerstvo,"Unlike within the United States and the PE license it doesn't appear that it's possible to receive an EUR ING license by direct comity EU Engineering licensing is handled by FEANI and on their EUR ING page they state Application is open only to individuals if they are members of an engineering association represented in FEANI through a National Member But it may be possible to join one of the German FEANI members and see if they can support a reciprocity or comity process 1 1 There are other member organization in other countries but your question specifically mentioned Germany Digging a bit deeper it does appear that there may be limited cases where an EUR ING will be awarded based upon sufficient experience as a professional engineer Take a look through the FEANI EUR ING guide in particular Section 5 which details the minimum requirements Most of the cases cover qualifications based upon an education received within an FEANI member country Section 5 4b deals with special circumstances and provides the potential pathway that you could receive an EUR ING license Nevertheless it is possible to consider such alternative routes Very strict procedures however have then to be followed (see 7 1) and the applicant must have at least 15 years of Professional Engineering Experience recognized by FEANI So it does appear to be possible but again it's not as simple as the comity process within the United States"
19,inzinjerstvo,"The combustion chamber and nozzle of the Space Shuttle main engine were cooled with liquid hydrogen Liquid hydrogen was also the fuel It was used as a coolant before it was burned ( regenerative cooling ) Another example is the air breathing rocket engine SABRE Here too liquid hydrogen is used as fuel It's also used for liquefying the atmospheric oxygen In the industry one advantage that liquid helium and nitrogen have over hydrogen is that helium and nitrogen are inert and non-combustible Probably less corrosive too p s The question has a superconduction tag So I don't know if this is the sort of application of liquid hydrogen cooling that the O P is looking for"
24,inzinjerstvo,"Most stainless steels contain nickel around 10% It is combined normally with chrome and molybdenum The main problem that a natatorium (i e swimming pool) is a highly corrosive environment and most stainless steel alloy is a little bit slowly corroding here Even aluminium gets a greyish-white surface layer In the case of constructive materials the situation is a little bit better First because they are mostly in the wall and the concrete around them partially protects them In case of freely available surfaces plastic or painting is yet used"
30,inzinjerstvo,"The work history and temperature history of any metal can make a big difference in the final shape after machining If the material was cold worked (e g rolled) there may be significant residual stresses within the material When you start selectively removing material those stresses may cause the part to warp into a new shape Cast metals and ones that have been given surface treatments can have the same problem You might be able to address the problem by roughing the part to near-final shape and then running a finishing pass to remove that last little bit of material Otherwise take a look at the specifications of the material You may need to heat treat the part to relieve those stresses This is a problem that can exist with just about any metal not just Al"
36,inzinjerstvo,"The main problem which I can see in your idea that your system will have a cumulative error Only calculating this won't be enough you will have to find alternate solutions too In similar (but maybe bigger) scenarios for exampe for drones there is a similar problem The solution is using the wheel rotation counters to get a fast real-time but buggy input data (which contains the cumulative error as well) In case of flying drones this data is coming from giros and accelerometers your task is much simpler compared to their But you should get an alternate information source too (In case of the drones it is normally the GPS) This can be GPS or some other thing - there is a wide spectrum of possibilities Visual image processing Precalibrated ultrasound markers Marker paintings on the floor If I suspect correctly the size of your experiment maybe the last would be most promising to you"
39,inzinjerstvo,"Paradoxically maybe the home-sized magnetic levitation could be a narrow area where superconducting solutions could be cheap I explain why Although room-temperature superconductivity is a dream room superconductivity is not -) There are soon superconducting materials which can be cooled by liquid air and they aren't even costly Liquid air is also relatively cheap Maybe a liquid air processing machine were costly but you don't need to buy that Only to buy the superconducting alloy and the liquid air (nitrogen) For the first I tried ebay But it depends what you want to reach I once played chess with figures levitated by Meissner-effect The result could be"
40,inzinjerstvo,"Double nutting can be an easy option for this I was about to describe it myself but these folks do a great job This image from the article models the forces that do the job Take note of the contact surfaces between the treading of the bolt in the top vs bottom nut"
41,inzinjerstvo,"Very probably no Galvanic corrosion required the existence of a reactive and conductive medium which you don't have If there is some (for example at least moist air or similar) best you can do to paint both of the metals if you can Generally if none of the materials would corrode in an environment galvanic corrosion is a non-issue (in that environment)"
43,inzinjerstvo,"You could try Wikipedia but they note that the article may not meet there quality standards so I'll stay away from there as a source The World Nuclear Association seems more credible anyway Their page discusses the process Quoting the section entitled Reprocessing today – PUREX (emphasis mine) All commercial reprocessing plants use the well-proven hydrometallurgical PUREX (plutonium uranium extraction) process This involves dissolving the fuel elements in concentrated nitric acid C hemical separation of uranium and plutonium is then undertaken by solvent extraction steps (neptunium – which may be used for producing Pu-238 for thermo-electric generators for spacecraft – can also be recovered if required) The Pu and U can be returned to the input side of the fuel cycle – the uranium to the conversion plant prior to re-enrichment and the plutonium straight to MOX fuel fabrication Block of text $\to$ coherent summary Chemical solvents are used Further below the WNA notes The used fuel is chopped up and dissolved in hot concentrated nitric acid The first stage separates the uranium and plutonium in the aqueous nitric acid stream from the fission products and minor actinides by a countercurrent solvent extraction process using tributyl phosphate dissolved in kerosene or dodecane In a pulsed column uranium and plutonium enter the organic phase while the fission products and other elements remain in the aqueous raffinate In a second pulsed column uranium is separated from plutonium by reduction with excess U4+ added to the aqueous stream Plutonium is then transferred to the aqueous phase while the mixture of U4+ and U6+ remains in the organic phase It is then stripped from the organic solvent with dilute nitric acid The plutonium nitrate is concentrated by evaporation then subject to an oxalate precipitation process followed by calcination to produce PuO2 in powder form The uranium nitrate is concentrated by evaporation and calcined to produce UO3 in powder form It is then converted to UO2 product by reduction in hydrogen Compounds of importance tributyl phosphate kerosene and dodecane and aqueous affinate are used as solvents after the nitric acid Then there is a reaction with $U^{4+}$ and uranium and plutonium are separated That's the chemical part I haven't been able to find much information on the specific mechanical methods (i e the pure engineering you were looking for) In fact the original patent for PUREX does not cover the mechanical processes leading me to believe that the exact setup can vary This pdf is somewhat helpful It says that the input materials are first chopped up Perforated baskets are then used to separate this machinery from the rest of the solution; a wheel dissolver may be used I do have some information albeit for a non-PUREX method For aqueous reprocessing (go to page 12) mixer settlers (mixing chambers with settling chambers) columns and centrifuges are the main pieces of equipment"
