Id,oblast,Body
2016,fitness,The main difference is in the purity how much lactose and fat is left with the protein after filtering Whey isolate usually contains around 90% protein and whey concentrate is more like 70-85% If you have trouble digesting the lactose or are trying to minimize carbohydrate content then whey isolate would be a good choice Otherwise it probably doesn't matter; just pick the concentrate since it's cheaper in terms of protein grams/dollar
2039,fitness,I'd say this depends on your fitness the intensity of the workout and perhaps how much you've eaten the night before Assuming jogging means a running speed of about ~10 km/h or ~6 mph I expect you don't use that much energy that you can't cope with without jogging More importantly low intensity workouts mainly burn through fat and anything you would eat either isn't absorbed yet or only serves you energy for a couple of minutes which won't help you during 'longer' workouts Off course if you start to feel faint at the end of the workout you could take some glucose with you just to recharge when you need it So my advise go running and enjoy your breakfast after the workout Resources Skip breakfast before exercise to burn more fat studies say The Benefits of Exercising Before Breakfast
2019,fitness,Body weight squats will help with leg strength and balance Bicycle crunches and situps for oblique and core Pushups or elevated pushups for triceps I would avoid excessive bicep curls as big biceps will decrease your punching speed
2363,fitness,Get outdoors Because you're sitting inside all day it's great to get some fresh air I'd recommend either going jogging/running or cycling because they're very accessible and you can do it practically everywhere The big advantage of jogging is that it burns through calories like crazy and you're using a lot of different muscles If you have a pool nearby I would also recommend swimming During swimming you're using your arms in a totally different way than when working behind the desk It also strengthens your arm and shoulder muscles which hopefully let's you bear the stresses of working with stretched out arms all day Especially focusing on backstroke is good because when sitting behind the desk you're 'exercising'/using your breast muscles more so training the back muscles helps balance that Furthermore swimming is like a master-combo of all the arms movements anti-RSI campaigns make you do If your commute isn't too long you could cycle commute Ride your bike from home to work in the morning and from work to home at the end of the day This is easiest in the summer when the days are longer and there's less rain but possible all year If there's a shower available at or near work you can cycle long and hard and then clean up but if you go a bit slower you should be able to do it in regular clothes and just change your shirt and fix your hair when you get to work If you're depending on exercise to get around it's harder to skip it Doing a combination of multiple workouts every other day keeps it fun because you're not constantly doing the same It takes quite some discipline to do workouts with weights every day and if you're coming from being a couch potato it's all the more important your doing something fun Go join a team or set yourself goals to keep you motivated because while it's great that you've decided to want to get started you need to find something you want to keep doing as well Take it easy If you haven't done any exercise for quite some time chances are your fitness is very low Doing too much too fast can cause injuries Furthermore working out very hard with a poor physical condition is almost a guarantee of having terrible muscle soreness the next day If you have to endure that for several weeks not very motivating Instead of rushing to get fitter as quickly as possible focus on getting in better shape gradually You'll be able to workout much longer or harder in a couple of months if you rush it you'll probably not be able to work out at all
2070,fitness,Having guided a group of 'Start-to-Runners' ( similar to Couch to 5K ) I'm convinced anyone can get started with running (except those who can't walk properly) A couple of things you should keep in mind Don't overdo yourself because if you get injured you can't run at all and you'll lose any progress you've made Also you'll get less muscle soreness which makes working out out on a regular basis easier to maintain Besides speed is of no relevance when building up your fitness so it's literally a waste of energy Try running at a speed that you can still talk because your breathing frequency (and thus ability to speak) and your VO2Max (your capacity for exercise) are very strongly related The speed at which you can still speak is mostly a speed at which you're performing aerobic exercise If you run any faster you start to create more CO 2 than your body can get rid off which is what you want to avoid Try to run with a buddy because you have somebody to talk to during running and someone who can keep you motivated when things start to get tougher (and vice versa) Especially when running with someone of a similar level can be very motivating Why does this all matter Well you say you can walk for miles with no problem but your lungs start burning when you exercise So you need to do two things improve your general fitness so your lung capacity increases and your body is stressed less during exercise and find a sweet spot at which you're not walking but your lungs aren't burning either Generally people think you have to go fast to get a good workout but they're wrong Even jogging at 8-9 km/h can greatly improve your fitness when done regularly so take it easy and enjoy yourself
2025,fitness,I've had lots of success of RunKeeper Pro It comes with some preset training programs and you can customize them yourself Granted the programs themselves are only for single running sessions as opposed to a long term plan There are also training programs (Fitness Classes) available through the site though you have to buy them However you can set them up yourself as well RunKeeper Pro is available for free on both the iPhone and Android Which uses GPS to track your running speed and gives you feedback during your running session The results are automatically uploaded to their website When you login to their site you can see reports of your progress/activity over time There are also options to add reports for other workouts like swimming or rowing and also upload heart rate reports from your Polar to get a more complete overview of your workouts There's also RunKeeper Elite (19$/year) that offers access to more advanced features
2090,fitness,Morning is better because It's the first thing you do so no excuses as to no time You get it done Your metabolism increases for the rest of the day burning a few more calories You get energized and your muscles are stretched so you're more apt to take stairs walk a little further etc Save an extra shower
2059,fitness,You will find a lot of advice on the Internet about this one most of it is not demonstrated This is what the British Journal of Sports Medicine says about it Recent research suggests that the timing of the intake of protein related to exercise may be more important than the total amount of protein consumed in a day In the case of resistance training an intake of approximately 20–25 g of a high quality protein source in the hour after exercise appears to produce the maximum rate of protein synthesis So the total amount of protein consumed is not important the timing is But this amount is much more smaller what the supplementation guys say (to view the full article linked above you would have to subscribe for 30 days free)
2071,fitness,You should not need to empty your bowels prior to exercise If you are experiencing discomfort during abdominal exercise you should make sure your diet contains enough fiber to allow you to go regularly The Mayo Clinic has a nice list of high-fiber foods you are not taking excessive diuretics you are not taking in foods that cause excess gas or bloating About com has a list of foods known to cause excess gas and bloating If you are following all of those rules and still experiencing this problem regularly then you should consider talking to your doctor about it
2035,fitness,I think this depends on what your ultimate goal is If your goal is to be able to lift as much weight as possible bulk first If your goal is look like an underwear model probably cut first If your goal is general health/something in between I seen no reason why you can't just start working out without making any radical changes first and let your body gain muscle/lose fat as it will
2212,fitness,I prefer running outdoors for several reasons It can keep your mind somewhat more engaged than when using a treadmill (i e taking in the scenery etc ) (and possibly keep it away from the fact that you're exercising) You get to go somewhere and see things other than the inside of a gym As Greg mentioned the natural benefits of fresh air and sunshine are a huge plus and should not be underrated You can establish routes using bike paths neighborhood/city blocks hills etc to track progress as well as to switch things up to keep it interesting You're less likely to quit You can easily hop off a treadmill but once you've jogged in one direction you have to jog back ;)
2043,fitness,Looking in the mirror is a pretty good way I also got a great motivation boost when I received much more attention from ladies after losing 10kg
