Id,Body,oblast,odgovor
2002,What's the difference I'm looking at shake options and some contain whey isolate some contain whey concentrate and some both,fitness,2016
2003,Provided that I'm not hungry should I eat breakfast before or after a 30-minutes morning jog Update There are many answers detailing opinions -- thanks If someone could supply evidence supporting their view I'd be even happier,fitness,2039
2005,I have recently started training martial arts (mostly striking some wrestling) I have trainings twice a week (monday/wednesday) Trainings are pretty demanding even after 3 months I don't train anything else What kind of exercises can I do at home that complement my martial art training,fitness,2019
2006,What exercises are recommended for people who sit in front of the PC working for long hours,fitness,2363
2009,I've been overweight most of my life and recently I've been slimming down (lost > 50 lbs so far shooting for 35-40 more) and I'm wanting to start running I have no problems walking for miles and miles (walked 8 one day just to see how far I could go never got tired) but when I start running my lungs are on fire after about 1/10th of a mile and I can't continue Is this something that will go away is there something I can do to improve it or should I be seeing a doctor about it Also might note I'm an ex-smoker of about 7 years just quit about 5 months ago as part of my beginning a healthier lifestyle,fitness,2070
2013,After a period of inactivity I recently started running again and want know what gadgets or tools I use to monitor my workout Some requirements It should offer workout programs (based on my level or goal) It should graphically show my progress over time It should be mobile so I can take it with me during running So what can I use to monitor my running workout,fitness,2025
2018,For weight loss results is there a time of day that is most beneficial to exercise,fitness,2090
2021,Protein shakes and other high-protein dietary strategies are believed by some to improve muscle recovery times after workouts However there is some opinion to the contrary that protein intake beyond a normal level does not result in quicker recovery times Does ingesting huge amounts of protein actually help speed muscle recovery after workouts,fitness,2059
2027,I try to not take large meals for at least 12 hours before starting yet abdominal exercises still can make me feel unwell and go to bathroom Is it normal Or should I reconsider my diet Does anyone else have this problem,fitness,2071
2029,I used to lift weights at the gym some years ago and my intention is to get back in shape this month I'm still in reasonable shape around 18-20% body fat I'd like to maximize my gains/losses as this provides the motivation to keep on doing it Should I cut or bulk first If there are any studies about this I'd love hearing about them Thanks,fitness,2035
2040,I'm a lazy person so running while staying in the same place appeals to me Are there any benefits to running outside worth considering besides aesthetics and feeling the wind in your hair,fitness,2212
2041,I'm always trying to find different ways to exercise (currently playing lots of Wii - that counts right ) but I find the problem of after a few weeks to a month I lose motivation get distracted and move on to something else Does anyone have any tips or idea on how to keep motivated,fitness,2043
2045,In late 2007 I fell really sick As a result I spent the next two years or so being unable to eat enough proteins to meet my daily needs and didn't do any physical exercise When I recovered I started training again (mostly bodybuilding and swimming) but I never was able to go back to running like I used to I simply didn't enough endurance to run even in intervals Whenever I ran however careful and reasonable I was I always ended up injuring myself to the calf or ankle I gave rope skipping a try as well but that was several times worse I have been taking regular walks but I'm still a long way from where I used to be and Canadian winters are terribly cold Are there exercises I can do to regain my past endurance quicker or must I just keep on walking,fitness,2085
2050,Is circuit training most beneficial if you do it everyday Should you take days off or alternate with something else to get better results,fitness,3045
2051,I've found various online calculators for looking up how many calories are burned when doing an exercise like using an Elliptical machine Is there a way to calculate how many calories I burned during an activity with some reliability Does it matter if I train in intervals,fitness,2243
2053,I'm pretty new to running and can only run for 2-3 minutes at a time Is there any rule of thumb I should know of for setting goals For example each week run two minutes more or something like that I find it really hard to know what I should do and I think my current method of running till I'm really puffed probably isn't the best way,fitness,2110
2054,I've been using planks to increase my trunk strength and am getting OK at holding the plank for 1 1/2 minutes Will I get more benefit by starting to increase that time or adding a different exercise (and which one do you recommend),fitness,2130
2055,Does anyone have an sources on this I love the idea of playing video games to lose weight just not sure how effective it is At the end of my exercises it tells me your burned x calories but not really sure how reliable the numbers are,fitness,2095
2057,I've heard that being ill for a few weeks or so is enough for your endurance to drop drastically Is this really true,fitness,2117
2065,When I do squats I find that my shoulders are often very sore (from the weight of the bar) afterward and sometimes shoulder soreness becomes as much a limiting factor during exercise as the strength/endurance of my legs and trunk I try to lay the bar across the meaty part far enough back that my hands have to push forward to maintain stability (if I let go of the bar it would slide off the back NOT balance on top of my shoulders) What can I do to prevent my shoulders from becoming the weak link in terms of my squat,fitness,2075
2074,A friend of mine told me that you can pretty much eat whatever you want within about 15 minutes of a big exercise session without putting on weight I can't really understand the science behind this Is there any truth to this,fitness,2078
2081,I frequently read advertisements for micronized creatine which is supposedly more pure easier to absorb and more effective than regular creatine Is there any validity to this claim,fitness,2093
2084,For as long as I can remember my legs will start to itch when I begin jogging Sometimes the itching is unbearable and I have to stop I noticed that it doesn't happen during sprinting / high intensity interval work Is there a reason for this,fitness,2107
