Id,oblast,Body
4003,chemistry,As you move from left to right across a period the number of protons in the nucleus increases The electrons are thus attracted to the nucleus more strongly and the atomic radius is smaller (this attraction is much stronger than the relatively weak repulsion between electrons) As you move down a column there are more protons but there are also more complete energy levels below the valence electrons These lower energy levels shield the valence electrons from the attractive effects of the atom's nucleus so the atomic radius gets larger
4056,chemistry,Crystals have inspired a great many chemists because they are fascinating for a good reason Not only are they aesthetically pleasing but they serve as an excellent subject to tour a variety of theoretical subjects important for understanding high-level chemistry Crystalline materials are made up of periodic structures We're only going to primarily focus on binary compounds where there is not a high degree of covalency There are several ways to think about this problem but let's start with the melting of a crystal We say that at some definite temperature a highly ordered crystal will melt into a liquid Those of us familiar with the language of equilibrium thermodynamics might recognize that the change in free energy for this phase change can be written at constant temperature as $$ G_{liquid} - G_{crystal} = H_{liquid} - H_{crystal} - T ( S_{liquid} - S_{crystal} ) $$ $$ \Delta G = \Delta H - T \Delta S $$ If we suppose that this process is spontaneous then we would say that the change in Gibbs' free energy is negative i e $\Delta G &lt; 0$ This is true if and only if $$\Delta H &lt; T \Delta S$$ Traditionally we interpret this as saying that there is a thermally-driven increase in entropy when we melt a highly ordered crystal into a liquid which more than offsets the energy cost associated with the enthalpies of the interactions holding that crystal together A chemist tends to learn early on that the reverse is not necessarily true at some definite temperature a perfect crystal rarely forms from the liquid This inability to just heat up any substance and always produce a perfect crystal by cooling illustrates how crystal formation is a case of kinetic- rather than thermodynamic- control So the process by which you form your crystal could possibly result in a different crystal structure Sometimes crystal structures change just by altering the temperature of the chamber you're measuring the crystal structure in Now neither of these cases apply to sodium chloride to the best of my knowledge The formation of an ionic crystal such as sodium chloride is a delicate balance between electrostatic attraction and Pauli repulsion Electrostatic attraction says that between two different charges $q_+$ and $q_-$ there is a Coulomb force given by $$F= \frac{k q_+ q_-}{r^2}$$ where $r$ is the distance between the two charges If one plays with the numbers then it's easy to see that at short distances the force is strongest but there is a limit to how close they may come together Eventually a repulsive force due to a quantum mechanical principle called the Pauli Exclusion Principle overpowers the attraction An equilibrium results in which the atoms sit a certain distance from one another so that if you will humor me the forces between them balance out This is why we traditionally represent crystal packing using marbles with a unique radii The radii of the hard marble represents where the Pauli repulsion overpowers the attraction You might say Sure we have these kinetic electrostatic and quantum mechanical factors to consider but how do these help with the final crystal structure Hold your horses we're getting there A famous mathematician and scientist thought about the most efficient ways to pack spheres of the same size together By most efficient I mean this in terms of what FedEx considers efficient fitting things together into the smallest possible volume This is also what electrostatics want Kepler sug
4013,chemistry,I think your question really arises from some confusion about what $\Delta G$ represents In general $\Delta X$ for a thermodynamic quantity $X$ is the change of $X$ along some process You could make it clear by actually writing $\Delta G(\text{A}\rightarrow\text{B})$ where A and B are before and after states (We'll note that in the general case $\Delta X$ depends on the path take from A to B making this notation improper If $X$ is a function of state though you're good to go ) However in the equation you quote $$\Delta G = \Delta G^0 + RT \ln Q$$ the $\Delta G$ is a free energy of reaction and should thus be denoted $\Delta_r G$ with the correct equation being $$\Delta_r G = \Delta_r G^0 + RT \ln Q$$ The free energy of reaction is defined as $\Delta_r G = G_{\text{products}} - G_{\text{reactants}}$ Thus this $\Delta_r G$ is not the variation of $G$ over the entire reaction which would be the $\Delta G$ of the system between the start of the reaction and the equilibrium PS I think this link is the online resource I found with the clearer use and explanation of notations Notations are important in thermodynamics
4012,chemistry,In the presence of these strong acids the NMe 2 group is partially protonated and the protonated form is meta-directing Under the conditions I know for that experiment you get a mixture of para- and meta-product but no ortho-product due to steric hindrance
4019,chemistry,Generally speaking the best solvent will be dependent on the impurity that you are trying to remove The solvent must dissolve both the desired compound and the impurity at a high temperature but only the desired compound at lower temperatures The solubility product of the impurity as well as the common ion effect should both be taken into consideration
4022,chemistry,Silver is not as inert as gold Tarnish is the name we give to the phenomenon when silver metal is oxidized and becomes a salt Surfaces made of silver tend to disinfect themselves pretty quickly As for disinfecting water poured into a silver cup I imagine that would take a little longer since you have to wait for silver to diffuse away from the surface and into the solution But even very trace levels of silver can have strong antimicrobial effects
4090,chemistry,Setting the scene for your question In Environmental Chemistry there are several pathways a chemical might travel through including being subjected to the biochemistry of an animal photodegradation chemical degradation (perhaps it slowly reacts with water etc ) uptake as a metabolite in plants degradation by soil microorganisms and this is ignoring aquatic and air pathways Say within a mouse or a fly a possible pathway for degradation for some insecticide is cleavage of the P-O bond How they have determined this in the past is noteworthy; a synthetic chemist would isotope label an atom in the molecule say $^{33}$ P -labeled or $^{14}$ C -labeled and he purified it before finally determining its specific activity Then a biochemist would dose a mouse with a solution of the compound dissolved in an appropriate solvent such as olive oil Urine and feces were collected after administration An aliquot of the collected urine for example would have its radioactivity measured using scintillation counting The organo-soluble species would be extracted from the rest of the urine and the distribution of radioactivity could then be determined between the aqueous and organic layers Then one could investigate what were present by TLC if you're old school -- they would actually run via cochromatography all the possible metabolite products they could independently think of and synthesize to identify a TLC spot (That is a lot of work ) These days we can cheat with HPLC-MS So you might ask are results from this generalizable I have to tell you that they generalize in a very rough way Enzymes are responsible for all the nifty biochemistry and they tend to be rather selective towards a given substrate and in many cases chirality even matters What they are picky about is a tough problem that is tailored to each individual enzyme One can make all kinds of generalizations about the chemical nature of the bonds and some possible predictions from it but those won't necessarily hold up in an animal model with a different molecule So nitty-gritty mechanisms might not be what we want to look at Instead we'll step back and take a broader view of this landscape We need to look at bigger items in terms of physical properties namely 1) Persistence what is its half-life in soil etc This is a matter of degradation whereas the next is all about movement of an intact molecule A simple chemical way to test this is how they resist hydrolysis 2) Mobility over time does the compound tend to sit or spread itself around For example factors that influence this are sorption how much does our chemical bind to our soil water solubility how easy it is to move in water for our chemical vaporizability how likely is the material to evaporate away from its source A famous organophosphate is malathion The partition coefficient according to the wiki page is 2 36 This implies its solubility is greater in organics than water but some of i
4065,chemistry,While nomenclature is of particular interest to organic chemists to specify an exact compound the classification of X into broad category Y or Z isn't a precise science and not really of practical use The article cites a textbook by Seager to this effect stating The distinction between organic and inorganic carbon compounds while useful in organizing the vast subject of chemistry is somewhat arbitrary Even if you find a source that says charcoal is (in)organic you may just as well find one stating the opposite Just like the coal from which it may have been produced it was once biomass and decidedly organic but so was graphite and diamond or CO 2 and CO 3 2&minus; I think it's overly pedantic and unproductive to try to come up with definitive judgements for these decidedly edge case scenarios After all it's just a chemical on the shelf what one does with it is far more relevant I don't use it on a daily basis but it seems more like a tool than a reagent The fact it contains carbon seems beside the point; it's value isn't in the chemical composition but rather its extraordinary adsorptive properties
4057,chemistry,ChemEQL is pretty nice in some instances and free but it looks like it has been mostly abandoned I'm aware of Titrator but it only runs on Windows and I've never had a chance to run it It's also free I've heard good things about Visual MINTEQ but it is Windows only and I've never had a chance to run it Supposedly well maintained There is also PHREEQC which sort of works on stuff other than Windows I hear it is harder to use but probably worth it
4093,chemistry,The obvious order is via the stability of the carbocation of the group I think you meant the migrating groups stability This is not what textbooks say Reactions are ruled by the delta G of the activated complex This may be close to educts or to products or some halfway state or a real intermediate minimum is on the reaction path So in some cases the model of a separate carbenium ion (in a ionic pair maybe) is useful sometimes You need to think of a three-center bond state
